Vardas         Pavarde         ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10    Egz.
Vardas4169     Pavarde4169     5    10   7    3    7    3    7    2    6    5       5
Vardas4170     Pavarde4170     3    5    2    9    8    10   5    2    4    7      10
Vardas4171     Pavarde4171     6    5    2    2    3    9    8    8    9    10      2
Vardas4172     Pavarde4172     8    6    7    4    4    9    4    4    7    8       7
Vardas4173     Pavarde4173     9    7    6    8    3    3    8    4    5    3       3
Vardas4174     Pavarde4174     7    3    9    2    5    8    10   9    5    9       4
Vardas4175     Pavarde4175     3    4    8    7    4    9    2    7    8    7       5
Vardas4176     Pavarde4176     10   8    6    5    4    5    8    8    7    9      10
Vardas4177     Pavarde4177     2    7    4    5    2    4    7    4    3    9       3
Vardas4178     Pavarde4178     2    6    3    8    8    6    3    7    2    6       7
Vardas4179     Pavarde4179     5    9    4    7    7    9    2    4    7    9       2
Vardas4180     Pavarde4180     2    5    8    2    4    6    6    2    4    2       8
Vardas4181     Pavarde4181     7    5    3    5    2    9    2    8    6    9       3
Vardas4182     Pavarde4182     6    5    10   3    10   8    4    6    7    9       7
Vardas4183     Pavarde4183     5    9    7    9    5    9    7    7    8    2       2
Vardas4184     Pavarde4184     2    9    5    3    3    3    10   2    5    7       4
Vardas4185     Pavarde4185     5    3    8    4    10   3    3    7    7    10      9
Vardas4186     Pavarde4186     5    5    10   2    8    2    2    2    10   4       8
Vardas4187     Pavarde4187     4    3    4    6    2    4    10   10   5    8       2
Vardas4188     Pavarde4188     7    7    2    5    9    6    8    9    4    9       8
Vardas4189     Pavarde4189     8    3    9    9    10   7    9    2    4    3       8
Vardas4190     Pavarde4190     9    7    3    2    4    6    3    2    3    2       4
Vardas4191     Pavarde4191     7    9    5    2    7    4    2    10   7    3       4
Vardas4192     Pavarde4192     3    9    6    8    8    5    2    9    6    3       5
Vardas4193     Pavarde4193     5    6    4    6    6    2    8    9    2    2       4
Vardas4194     Pavarde4194     3    4    7    7    8    10   5    7    6    5       6
Vardas4195     Pavarde4195     4    9    6    6    7    9    4    9    9    4       8
Vardas4196     Pavarde4196     5    8    3    3    10   10   3    9    4    4       5
Vardas4197     Pavarde4197     5    5    3    5    10   9    8    9    4    6       8
Vardas4198     Pavarde4198     10   5    2    7    7    8    3    4    6    10      7
Vardas4199     Pavarde4199     9    3    7    9    2    9    6    5    5    10      8
Vardas4200     Pavarde4200     2    10   5    9    6    9    9    8    9    7       7
Vardas4201     Pavarde4201     10   4    9    6    2    2    7    3    7    3       5
Vardas4202     Pavarde4202     7    6    2    8    5    5    4    4    2    2       4
Vardas4203     Pavarde4203     6    3    5    7    5    7    9    8    10   4       2
Vardas4204     Pavarde4204     5    5    10   9    8    9    10   6    9    9       5
Vardas4205     Pavarde4205     2    9    7    3    5    4    7    9    9    10      8
Vardas4206     Pavarde4206     8    8    7    9    10   7    10   3    9    4       3
Vardas4207     Pavarde4207     6    7    4    8    8    3    6    5    2    4       2
Vardas4208     Pavarde4208     2    5    3    7    3    7    2    4    6    9       7
Vardas4209     Pavarde4209     9    6    10   7    2    8    5    4    4    8       3
Vardas4210     Pavarde4210     2    6    5    3    4    4    5    6    9    3      10
Vardas4211     Pavarde4211     5    10   7    7    8    7    8    4    7    3       5
Vardas4212     Pavarde4212     9    8    3    10   4    10   4    9    4    10      7
Vardas4213     Pavarde4213     2    8    10   2    5    7    3    8    7    2       6
Vardas4214     Pavarde4214     2    3    3    2    6    3    6    6    2    5       7
Vardas4215     Pavarde4215     7    3    4    2    7    2    7    10   9    7       7
Vardas4216     Pavarde4216     5    5    9    8    3    10   5    9    3    10      2
Vardas4217     Pavarde4217     4    7    7    8    10   2    9    7    7    2       5
Vardas4218     Pavarde4218     7    8    10   2    7    5    5    6    3    8       2
Vardas4219     Pavarde4219     3    9    6    10   5    10   4    6    3    9       2
Vardas4220     Pavarde4220     8    3    10   2    9    4    9    3    2    3       9
Vardas4221     Pavarde4221     8    6    3    7    7    7    9    9    10   6       7
Vardas4222     Pavarde4222     8    7    2    4    8    2    9    10   10   7       6
Vardas4223     Pavarde4223     6    10   6    7    8    5    3    7    2    7       3
Vardas4224     Pavarde4224     9    7    10   5    8    10   8    8    9    3       2
Vardas4225     Pavarde4225     8    3    10   4    4    6    8    3    4    7      10
Vardas4226     Pavarde4226     3    4    3    2    3    5    5    3    3    3      10
Vardas4227     Pavarde4227     2    9    2    10   2    5    6    4    5    6       2
Vardas4228     Pavarde4228     5    10   2    4    8    6    3    3    7    8       5
Vardas4229     Pavarde4229     4    5    3    5    8    5    7    7    2    8      10
Vardas4230     Pavarde4230     6    5    3    7    6    5    10   10   4    4       3
Vardas4231     Pavarde4231     10   8    5    2    10   9    8    3    6    6       2
Vardas4232     Pavarde4232     5    8    2    4    8    2    6    10   9    7       7
Vardas4233     Pavarde4233     9    5    4    2    10   5    10   9    5    5       6
Vardas4234     Pavarde4234     9    3    7    4    9    5    3    6    7    3       6
Vardas4235     Pavarde4235     8    8    7    2    3    2    6    3    6    6       4
Vardas4236     Pavarde4236     7    10   10   2    3    7    3    5    4    10     10
Vardas4237     Pavarde4237     9    9    6    5    10   4    4    6    4    6       9
Vardas4238     Pavarde4238     10   10   8    6    7    2    8    2    5    10     10
Vardas4239     Pavarde4239     8    4    6    4    5    7    6    4    7    10      3
Vardas4240     Pavarde4240     7    6    8    7    7    7    9    3    10   10      5
Vardas4241     Pavarde4241     2    9    8    7    2    5    4    2    2    9       6
Vardas4242     Pavarde4242     6    4    9    6    10   2    3    3    2    4      10
Vardas4243     Pavarde4243     8    8    6    7    6    4    7    9    3    3       2
Vardas4244     Pavarde4244     6    4    7    8    3    9    7    2    4    7       5
Vardas4245     Pavarde4245     9    4    9    5    2    5    7    9    3    3      10
Vardas4246     Pavarde4246     6    9    3    9    3    5    2    8    5    2       5
Vardas4247     Pavarde4247     7    7    5    9    4    7    2    9    9    7       4
Vardas4248     Pavarde4248     10   7    8    6    2    7    5    8    6    7       5
Vardas4249     Pavarde4249     10   2    8    4    7    7    5    9    6    8       2
Vardas4250     Pavarde4250     6    5    4    9    2    2    6    2    6    6       9
Vardas4251     Pavarde4251     2    5    5    3    2    5    10   2    10   5       5
Vardas4252     Pavarde4252     10   3    10   7    6    9    9    10   6    9       7
Vardas4253     Pavarde4253     7    3    5    6    3    6    8    6    9    6       9
Vardas4254     Pavarde4254     5    7    6    2    2    5    2    5    6    3       7
Vardas4255     Pavarde4255     8    2    2    7    2    8    9    6    6    4      10
Vardas4256     Pavarde4256     2    5    10   6    8    9    8    2    7    5       6
Vardas4257     Pavarde4257     2    7    9    2    8    4    5    9    6    5       9
Vardas4258     Pavarde4258     9    10   5    5    7    5    3    7    4    3       4
Vardas4259     Pavarde4259     10   3    4    4    3    9    2    5    6    10      5
Vardas4260     Pavarde4260     6    4    10   4    3    9    6    6    8    5       8
Vardas4261     Pavarde4261     3    2    3    10   9    5    5    2    3    5       5
Vardas4262     Pavarde4262     7    7    2    5    10   3    6    5    5    10      8
Vardas4263     Pavarde4263     7    10   4    3    2    10   10   8    9    3      10
Vardas4264     Pavarde4264     3    10   4    4    3    3    2    4    8    2       6
Vardas4265     Pavarde4265     5    2    5    10   9    8    7    6    8    6       6
Vardas4266     Pavarde4266     4    5    6    9    5    5    7    8    4    9       3
Vardas4267     Pavarde4267     5    6    8    10   5    6    5    3    4    8       9
Vardas4268     Pavarde4268     4    9    5    9    3    3    3    6    2    9       7
Vardas4269     Pavarde4269     6    6    4    5    7    8    7    4    7    10     10
Vardas4270     Pavarde4270     6    9    4    6    3    2    8    4    2    5       5
Vardas4271     Pavarde4271     3    8    6    4    6    8    6    5    4    7       3
Vardas4272     Pavarde4272     5    4    2    4    4    6    5    9    7    10      5
Vardas4273     Pavarde4273     9    5    7    5    8    5    4    6    3    9       9
Vardas4274     Pavarde4274     4    10   2    5    10   10   2    2    4    10      9
Vardas4275     Pavarde4275     7    6    2    2    3    9    2    4    10   8       3
Vardas4276     Pavarde4276     7    4    8    7    7    6    2    9    4    7       6
Vardas4277     Pavarde4277     8    5    9    5    4    4    7    4    3    9       3
Vardas4278     Pavarde4278     2    6    9    9    5    6    3    3    4    8       6
Vardas4279     Pavarde4279     4    2    4    5    10   9    6    7    4    2       9
Vardas4280     Pavarde4280     7    8    3    6    6    7    8    8    9    7       8
Vardas4281     Pavarde4281     7    7    4    5    4    10   6    8    3    3       2
Vardas4282     Pavarde4282     2    7    9    6    4    3    4    9    7    3       5
Vardas4283     Pavarde4283     3    9    2    6    9    5    7    10   7    9       3
Vardas4284     Pavarde4284     5    3    8    7    7    10   3    2    9    8       4
Vardas4285     Pavarde4285     6    3    9    2    4    9    3    4    9    10      9
Vardas4286     Pavarde4286     6    6    10   4    4    4    6    5    9    7      10
Vardas4287     Pavarde4287     3    7    8    2    4    6    8    8    8    7       6
Vardas4288     Pavarde4288     5    10   6    10   7    6    10   2    9    3       8
Vardas4289     Pavarde4289     4    5    8    7    4    7    10   2    7    9       8
Vardas4290     Pavarde4290     9    6    10   7    5    4    7    3    10   7       9
Vardas4291     Pavarde4291     4    10   7    6    3    5    10   4    3    6       3
Vardas4292     Pavarde4292     2    8    7    2    7    2    6    9    6    10      2
Vardas4293     Pavarde4293     10   6    6    4    7    6    5    3    4    7       7
Vardas4294     Pavarde4294     2    3    2    9    10   7    2    7    7    8       6
Vardas4295     Pavarde4295     5    3    9    7    9    8    5    7    9    3       8
Vardas4296     Pavarde4296     4    9    9    8    6    2    5    6    3    3       5
Vardas4297     Pavarde4297     3    10   8    3    5    10   7    3    2    10      8
Vardas4298     Pavarde4298     2    7    9    4    7    3    8    4    8    9       4
Vardas4299     Pavarde4299     9    4    3    7    2    4    4    7    2    3       6
Vardas4300     Pavarde4300     2    9    5    10   9    8    8    2    4    5       7
Vardas4301     Pavarde4301     7    4    6    8    3    4    2    3    10   4       8
Vardas4302     Pavarde4302     5    7    8    2    3    4    10   8    9    2       9
Vardas4303     Pavarde4303     10   8    3    8    7    10   3    2    2    8       6
Vardas4304     Pavarde4304     6    2    2    4    9    4    7    3    8    4       2
Vardas4305     Pavarde4305     6    7    8    9    5    2    10   5    3    5       6
Vardas4306     Pavarde4306     10   8    9    9    4    9    3    10   10   2       8
Vardas4307     Pavarde4307     3    6    9    9    4    6    9    8    4    9       7
Vardas4308     Pavarde4308     3    8    2    2    9    6    9    4    7    2       8
Vardas4309     Pavarde4309     3    7    7    9    2    10   6    3    10   9       5
Vardas4310     Pavarde4310     3    7    2    8    10   4    8    3    6    4      10
Vardas4311     Pavarde4311     8    4    3    5    9    6    10   9    2    9      10
Vardas4312     Pavarde4312     2    3    10   4    6    10   5    5    7    7       5
Vardas4313     Pavarde4313     3    4    9    8    2    5    6    10   2    2       2
Vardas4314     Pavarde4314     6    6    7    9    10   6    7    2    4    5       9
Vardas4315     Pavarde4315     5    2    9    10   3    8    10   10   2    6       7
Vardas4316     Pavarde4316     5    9    10   8    5    6    5    2    7    4       5
Vardas4317     Pavarde4317     9    7    3    10   6    4    5    3    9    3       7
Vardas4318     Pavarde4318     4    7    3    9    5    6    5    8    5    6      10
Vardas4319     Pavarde4319     8    7    5    9    5    10   5    4    3    6      10
Vardas4320     Pavarde4320     7    10   3    9    5    7    2    8    7    9       5
Vardas4321     Pavarde4321     4    8    8    2    9    5    2    4    4    7       7
Vardas4322     Pavarde4322     2    9    6    9    5    5    6    10   6    8       6
Vardas4323     Pavarde4323     4    2    2    7    3    10   10   8    4    4       6
Vardas4324     Pavarde4324     4    2    6    3    4    6    3    7    10   3       7
Vardas4325     Pavarde4325     10   10   4    5    5    5    10   8    8    7       7
Vardas4326     Pavarde4326     10   4    2    8    3    9    3    6    7    2       6
Vardas4327     Pavarde4327     4    5    5    3    8    5    10   9    3    8       8
Vardas4328     Pavarde4328     6    8    6    4    7    10   10   10   8    7       2
Vardas4329     Pavarde4329     2    2    5    10   8    3    2    2    3    7       7
Vardas4330     Pavarde4330     4    5    4    3    2    9    7    6    8    9       5
Vardas4331     Pavarde4331     7    9    8    3    6    6    3    7    9    8       6
Vardas4332     Pavarde4332     9    5    5    3    3    5    6    3    6    8       4
Vardas4333     Pavarde4333     5    7    10   8    9    8    4    10   8    7       4
Vardas4334     Pavarde4334     5    3    10   10   10   2    3    7    5    2      10
Vardas4335     Pavarde4335     6    6    2    3    5    3    9    5    3    2       8
Vardas4336     Pavarde4336     7    3    9    5    10   10   10   6    3    10      9
Vardas4337     Pavarde4337     5    10   3    4    7    4    4    10   6    7       2
Vardas4338     Pavarde4338     6    2    2    7    8    9    2    3    4    8       7
Vardas4339     Pavarde4339     4    8    6    3    3    7    9    7    6    6       6
Vardas4340     Pavarde4340     5    5    9    9    8    8    7    10   8    4       6
Vardas4341     Pavarde4341     2    9    5    5    7    2    7    5    5    4      10
Vardas4342     Pavarde4342     3    2    10   2    6    6    7    7    6    9       9
Vardas4343     Pavarde4343     6    6    3    3    6    5    5    8    5    10      7
Vardas4344     Pavarde4344     7    9    8    5    4    7    8    5    10   5       6
Vardas4345     Pavarde4345     9    8    10   10   8    5    4    2    7    3      10
Vardas4346     Pavarde4346     8    9    9    8    7    9    10   6    8    8       2
Vardas4347     Pavarde4347     10   9    4    8    6    2    6    9    9    9       5
Vardas4348     Pavarde4348     7    10   3    5    9    6    6    7    9    2       2
Vardas4349     Pavarde4349     6    3    7    8    7    2    5    3    2    2       5
Vardas4350     Pavarde4350     3    2    4    7    3    2    6    2    2    4      10
Vardas4351     Pavarde4351     6    8    6    6    3    8    7    9    2    9       9
Vardas4352     Pavarde4352     9    6    6    6    8    7    8    10   8    3       5
Vardas4353     Pavarde4353     2    5    10   8    8    9    6    5    6    5       9
Vardas4354     Pavarde4354     7    5    5    9    8    4    3    10   8    9       7
Vardas4355     Pavarde4355     4    2    7    5    10   2    10   2    4    8       4
Vardas4356     Pavarde4356     2    4    5    2    5    3    10   4    9    2       2
Vardas4357     Pavarde4357     7    5    4    9    10   3    2    9    10   9       9
Vardas4358     Pavarde4358     3    7    10   3    5    8    3    5    4    6       8
Vardas4359     Pavarde4359     3    7    8    10   10   10   9    5    7    4       3
Vardas4360     Pavarde4360     6    3    4    2    2    4    6    4    10   4       6
Vardas4361     Pavarde4361     4    5    8    6    10   4    3    5    8    6       4
Vardas4362     Pavarde4362     8    3    5    9    4    6    8    3    5    8       9
Vardas4363     Pavarde4363     7    9    3    9    9    4    7    6    6    2       4
Vardas4364     Pavarde4364     4    10   9    4    2    3    3    10   9    10      6
Vardas4365     Pavarde4365     5    8    7    6    6    9    5    3    7    8       6
Vardas4366     Pavarde4366     7    8    7    6    2    6    2    2    3    5       3
Vardas4367     Pavarde4367     5    6    5    6    5    8    8    8    10   5      10
Vardas4368     Pavarde4368     8    5    10   10   4    5    6    3    9    7       2
Vardas4369     Pavarde4369     2    5    10   9    2    2    3    5    10   7       8
Vardas4370     Pavarde4370     5    7    3    6    4    9    6    4    4    10      7
Vardas4371     Pavarde4371     10   2    4    2    6    3    4    8    8    9      10
Vardas4372     Pavarde4372     2    8    3    4    9    8    4    4    10   7       5
Vardas4373     Pavarde4373     9    8    8    8    3    7    6    10   8    7       4
Vardas4374     Pavarde4374     9    4    4    3    3    7    10   8    10   5      10
Vardas4375     Pavarde4375     10   10   9    10   7    3    4    5    9    2       3
Vardas4376     Pavarde4376     6    7    6    8    7    4    8    10   2    7       7
Vardas4377     Pavarde4377     3    2    7    3    4    3    8    9    2    4       9
Vardas4378     Pavarde4378     9    4    5    6    6    3    7    7    8    7       6
Vardas4379     Pavarde4379     5    9    9    8    9    5    2    6    5    8       3
Vardas4380     Pavarde4380     6    10   3    10   5    2    10   8    9    7       3
Vardas4381     Pavarde4381     9    2    3    5    8    5    5    7    10   6       5
Vardas4382     Pavarde4382     7    2    6    8    8    3    9    6    10   5       9
Vardas4383     Pavarde4383     3    3    8    10   5    9    5    6    5    9       4
Vardas4384     Pavarde4384     3    3    7    5    8    5    2    5    5    7       4
Vardas4385     Pavarde4385     7    6    7    4    6    3    3    10   10   4       3
Vardas4386     Pavarde4386     2    4    7    8    7    8    8    6    3    3       2
Vardas4387     Pavarde4387     6    9    10   3    3    2    9    8    5    9       3
Vardas4388     Pavarde4388     3    10   8    6    9    5    5    4    9    6       3
Vardas4389     Pavarde4389     9    8    4    7    9    3    8    3    7    4       5
Vardas4390     Pavarde4390     7    8    5    6    8    4    8    10   7    10      6
Vardas4391     Pavarde4391     9    5    10   7    5    2    10   9    4    10      5
Vardas4392     Pavarde4392     7    7    8    10   9    4    5    8    2    10      8
Vardas4393     Pavarde4393     8    4    3    4    6    10   10   8    8    5      10
Vardas4394     Pavarde4394     10   6    7    5    10   5    6    2    10   3       3
Vardas4395     Pavarde4395     7    7    7    6    8    2    2    9    10   9       3
Vardas4396     Pavarde4396     7    10   2    8    9    4    4    9    2    3      10
Vardas4397     Pavarde4397     2    5    4    3    3    8    3    5    5    10      9
Vardas4398     Pavarde4398     8    7    10   7    5    10   5    9    6    2       7
Vardas4399     Pavarde4399     2    8    7    6    9    9    4    5    3    9       3
Vardas4400     Pavarde4400     9    10   4    9    9    7    9    3    3    7       7
Vardas4401     Pavarde4401     9    7    9    3    5    2    5    7    4    9       7
Vardas4402     Pavarde4402     3    10   3    10   7    5    5    4    3    2       2
Vardas4403     Pavarde4403     6    7    4    10   5    9    5    8    5    8      10
Vardas4404     Pavarde4404     7    3    6    4    7    2    3    4    10   8       8
Vardas4405     Pavarde4405     9    8    5    5    4    5    8    2    6    7       9
Vardas4406     Pavarde4406     10   10   6    4    5    8    10   8    5    7       4
Vardas4407     Pavarde4407     3    8    7    8    7    4    2    6    6    2       9
Vardas4408     Pavarde4408     9    9    5    2    3    8    4    10   9    2       4
Vardas4409     Pavarde4409     7    4    6    10   6    4    7    10   10   9       6
Vardas4410     Pavarde4410     7    5    10   5    7    5    6    8    6    4       4
Vardas4411     Pavarde4411     6    10   9    2    4    6    7    5    6    9      10
Vardas4412     Pavarde4412     8    6    10   7    3    6    5    2    3    6       8
Vardas4413     Pavarde4413     4    4    9    10   7    10   2    3    8    9       7
Vardas4414     Pavarde4414     5    7    3    5    6    4    8    6    10   10      9
Vardas4415     Pavarde4415     10   5    2    5    2    6    8    5    3    5       3
Vardas4416     Pavarde4416     4    6    7    7    8    8    8    6    6    5       6
Vardas4417     Pavarde4417     6    8    8    4    2    4    4    7    10   6       7
Vardas4418     Pavarde4418     8    5    2    9    4    7    9    10   2    4      10
Vardas4419     Pavarde4419     2    4    2    8    7    3    2    3    3    5       7
Vardas4420     Pavarde4420     8    8    9    6    5    8    2    9    9    6       4
Vardas4421     Pavarde4421     3    4    9    3    2    3    8    10   10   7       4
Vardas4422     Pavarde4422     8    2    10   10   6    8    2    6    4    3       5
Vardas4423     Pavarde4423     10   7    3    9    2    7    2    2    9    4       2
Vardas4424     Pavarde4424     4    2    10   2    3    2    6    5    2    3       7
Vardas4425     Pavarde4425     3    2    4    4    4    2    5    10   2    7       9
Vardas4426     Pavarde4426     6    5    2    4    3    8    10   8    5    6       9
Vardas4427     Pavarde4427     9    10   8    7    5    2    2    8    4    10      9
Vardas4428     Pavarde4428     6    10   6    3    8    4    10   5    5    8       5
Vardas4429     Pavarde4429     10   10   6    10   9    3    9    10   5    3      10
Vardas4430     Pavarde4430     7    9    2    2    10   4    9    9    5    5       2
Vardas4431     Pavarde4431     4    8    7    8    3    6    5    3    4    2       7
Vardas4432     Pavarde4432     10   9    6    2    3    8    9    6    8    8      10
Vardas4433     Pavarde4433     2    9    9    9    10   9    8    8    5    10      6
Vardas4434     Pavarde4434     10   8    2    4    10   10   2    10   5    8       5
Vardas4435     Pavarde4435     3    2    2    9    5    9    3    5    7    6       8
Vardas4436     Pavarde4436     3    4    3    10   8    6    10   9    7    3       2
Vardas4437     Pavarde4437     6    9    7    9    6    6    3    9    8    5      10
Vardas4438     Pavarde4438     6    6    8    8    4    3    5    4    4    9       8
Vardas4439     Pavarde4439     2    4    6    8    3    8    3    7    5    3       7
Vardas4440     Pavarde4440     9    5    9    8    5    3    2    5    8    4       4
Vardas4441     Pavarde4441     10   8    6    2    2    5    9    4    8    2       4
Vardas4442     Pavarde4442     5    8    5    8    9    2    9    6    8    9       5
Vardas4443     Pavarde4443     2    10   7    10   4    2    9    4    8    10     10
Vardas4444     Pavarde4444     8    2    9    10   2    6    8    10   7    4       9
Vardas4445     Pavarde4445     9    8    2    9    2    8    5    8    8    4       7
Vardas4446     Pavarde4446     4    8    3    2    8    3    7    3    7    8      10
Vardas4447     Pavarde4447     5    5    5    10   9    5    4    4    4    4       9
Vardas4448     Pavarde4448     5    9    8    9    8    9    8    8    2    7       3
Vardas4449     Pavarde4449     3    5    5    9    10   2    6    6    3    4      10
Vardas4450     Pavarde4450     4    6    2    5    8    3    8    10   5    6       3
Vardas4451     Pavarde4451     2    2    5    4    10   5    9    5    7    5       6
Vardas4452     Pavarde4452     7    8    10   8    7    9    9    8    9    9       3
Vardas4453     Pavarde4453     5    7    8    5    9    10   5    9    6    10      6
Vardas4454     Pavarde4454     10   10   9    4    7    7    6    8    7    5       9
Vardas4455     Pavarde4455     2    5    4    7    7    5    8    2    6    4       3
Vardas4456     Pavarde4456     8    5    7    9    10   2    6    3    7    2       7
Vardas4457     Pavarde4457     7    6    10   7    10   7    10   10   8    5       2
Vardas4458     Pavarde4458     9    4    2    9    9    4    8    10   2    4      10
Vardas4459     Pavarde4459     5    4    4    8    10   7    9    7    5    6       6
Vardas4460     Pavarde4460     2    10   7    7    9    5    3    9    6    3       4
Vardas4461     Pavarde4461     7    3    2    2    10   9    10   7    7    4       7
Vardas4462     Pavarde4462     6    5    10   4    6    9    9    8    10   7      10
Vardas4463     Pavarde4463     5    9    10   8    2    4    2    3    5    8       4
Vardas4464     Pavarde4464     9    2    7    8    6    5    3    5    3    5       7
Vardas4465     Pavarde4465     3    2    7    2    10   8    8    7    10   8       6
Vardas4466     Pavarde4466     7    4    6    5    8    8    8    4    6    9       4
Vardas4467     Pavarde4467     5    10   8    4    6    8    2    7    6    4       7
Vardas4468     Pavarde4468     8    9    6    4    2    4    10   4    4    10      5
Vardas4469     Pavarde4469     9    3    7    8    5    6    4    8    3    6       3
Vardas4470     Pavarde4470     7    5    9    8    2    6    7    4    5    6      10
Vardas4471     Pavarde4471     3    10   7    7    3    10   3    6    2    2       3
Vardas4472     Pavarde4472     2    3    10   4    4    4    3    5    2    9       5
Vardas4473     Pavarde4473     10   8    7    5    10   4    2    8    6    9       4
Vardas4474     Pavarde4474     10   9    4    5    9    6    5    10   5    7       9
Vardas4475     Pavarde4475     7    6    7    5    8    10   7    4    6    6       6
Vardas4476     Pavarde4476     8    10   3    6    9    8    8    5    3    3      10
Vardas4477     Pavarde4477     7    10   5    2    4    3    4    8    5    9       6
Vardas4478     Pavarde4478     7    8    5    4    2    6    6    10   7    8       3
Vardas4479     Pavarde4479     7    9    7    3    5    5    4    4    8    4       2
Vardas4480     Pavarde4480     5    6    7    7    5    10   6    10   9    2       8
Vardas4481     Pavarde4481     7    6    10   8    7    6    2    3    6    7       4
Vardas4482     Pavarde4482     2    10   3    4    7    5    6    9    2    7       7
Vardas4483     Pavarde4483     6    5    9    5    8    6    7    2    5    7       5
Vardas4484     Pavarde4484     7    5    7    4    8    5    10   3    4    6       5
Vardas4485     Pavarde4485     7    2    4    5    4    3    6    6    8    4       8
Vardas4486     Pavarde4486     8    4    5    7    4    9    2    5    5    3       4
Vardas4487     Pavarde4487     2    10   9    5    3    3    5    2    9    7       2
Vardas4488     Pavarde4488     3    6    4    7    7    4    3    4    4    7       9
Vardas4489     Pavarde4489     6    5    3    10   3    4    5    9    7    10      9
Vardas4490     Pavarde4490     7    8    5    2    6    8    7    5    4    5       5
Vardas4491     Pavarde4491     2    10   3    2    4    2    5    5    4    2      10
Vardas4492     Pavarde4492     6    9    8    10   9    6    10   2    10   8      10
Vardas4493     Pavarde4493     2    9    5    10   4    10   3    3    3    7       4
Vardas4494     Pavarde4494     7    9    2    10   9    2    2    3    8    10      5
Vardas4495     Pavarde4495     10   7    2    5    5    6    7    10   3    5       9
Vardas4496     Pavarde4496     4    7    5    4    3    5    2    4    5    2      10
Vardas4497     Pavarde4497     4    9    2    9    4    9    5    9    7    8       8
Vardas4498     Pavarde4498     5    8    8    4    9    4    7    7    10   8       6
Vardas4499     Pavarde4499     9    9    10   4    5    3    8    9    10   5       5
Vardas4500     Pavarde4500     6    10   7    2    7    5    8    10   10   2       7
Vardas4501     Pavarde4501     9    9    10   2    5    2    10   9    9    7       4
Vardas4502     Pavarde4502     7    8    6    5    4    8    5    6    4    5       8
Vardas4503     Pavarde4503     4    10   4    6    10   4    5    5    8    6       4
Vardas4504     Pavarde4504     7    9    3    8    4    6    3    5    8    2       5
Vardas4505     Pavarde4505     2    2    3    4    9    4    7    2    3    5       6
Vardas4506     Pavarde4506     8    7    7    5    10   10   3    4    5    10     10
Vardas4507     Pavarde4507     7    3    5    5    7    7    6    10   8    3       3
Vardas4508     Pavarde4508     2    5    9    8    8    4    7    10   4    4       5
Vardas4509     Pavarde4509     4    7    5    2    4    6    8    9    7    3       3
Vardas4510     Pavarde4510     10   8    7    9    10   4    7    5    3    7       9
Vardas4511     Pavarde4511     8    6    2    10   4    3    7    10   10   9      10
Vardas4512     Pavarde4512     4    6    8    7    5    4    9    3    9    3       2
Vardas4513     Pavarde4513     2    2    10   10   7    8    5    4    9    8       6
Vardas4514     Pavarde4514     3    10   6    2    9    8    9    3    3    9       7
Vardas4515     Pavarde4515     6    8    10   4    9    3    9    8    2    7       8
Vardas4516     Pavarde4516     4    5    3    2    5    10   3    10   3    8       6
Vardas4517     Pavarde4517     5    5    3    10   5    3    4    8    6    3       7
Vardas4518     Pavarde4518     3    7    2    9    7    8    3    7    7    3       6
Vardas4519     Pavarde4519     4    5    4    9    6    9    7    7    10   9       3
Vardas4520     Pavarde4520     9    9    9    4    9    3    8    8    6    3       5
Vardas4521     Pavarde4521     7    9    8    6    10   10   4    3    6    10     10
Vardas4522     Pavarde4522     10   7    2    8    2    5    4    4    10   3      10
Vardas4523     Pavarde4523     2    8    5    9    6    5    7    8    6    4       9
Vardas4524     Pavarde4524     8    5    9    4    10   6    7    8    7    9      10
Vardas4525     Pavarde4525     4    2    3    10   5    9    10   4    7    6       2
Vardas4526     Pavarde4526     9    2    5    7    10   3    4    7    2    3       8
Vardas4527     Pavarde4527     7    7    2    9    4    6    8    6    5    6       8
Vardas4528     Pavarde4528     2    5    4    8    6    9    7    3    8    10      4
Vardas4529     Pavarde4529     4    6    8    6    2    4    9    8    10   8       3
Vardas4530     Pavarde4530     3    4    10   10   3    4    9    5    7    7       3
Vardas4531     Pavarde4531     8    9    4    3    6    8    10   5    8    10      6
Vardas4532     Pavarde4532     9    8    7    3    9    10   10   7    10   3      10
Vardas4533     Pavarde4533     4    6    7    4    5    5    10   8    10   5       2
Vardas4534     Pavarde4534     6    9    9    10   3    10   6    8    3    7       9
Vardas4535     Pavarde4535     2    7    7    2    2    2    9    5    3    4       5
Vardas4536     Pavarde4536     3    6    8    7    9    3    7    6    10   6       3
Vardas4537     Pavarde4537     6    5    8    3    5    7    4    10   4    9       3
Vardas4538     Pavarde4538     3    6    2    9    4    7    2    3    4    3       9
Vardas4539     Pavarde4539     2    6    7    9    4    2    6    4    5    7       8
Vardas4540     Pavarde4540     3    6    4    9    9    2    2    5    7    2       7
Vardas4541     Pavarde4541     10   6    7    2    2    7    8    3    6    10      5
Vardas4542     Pavarde4542     4    7    9    6    4    10   4    2    10   3       4
Vardas4543     Pavarde4543     7    7    8    4    4    5    7    6    7    3       7
Vardas4544     Pavarde4544     6    6    6    3    6    6    9    3    3    2       2
